tile,candidate,lowres_date,highres_date,delta_days,abs_delta_days,lat,lon,area,bounds_csv,width,height,bands,crs,left,bottom,right,top,csv_cloud_cover,valid_pixel_pct,cloud_mask_pct,cloud_probability_pct,sun_azimuth_mean,sun_zenith_mean,view_azimuth_mean,view_zenith_mean,usable,temporal_quality,cloud_quality,validity_quality,ranking_score,rank,is_top_k
ASMSpotter-1-1-1,2,2017-08-08,2016-10-18,294,294,4.975885642919341,-55.26784883014082,2.5,"[-55.27497747647343, 4.968736517652739, -55.2607201838082, 4.9830347681859415]",158,159,12,EPSG:4326,-55.27497747647343,4.968736517652739,-55.2607201838082,4.9830347681859415,3.17,100.0,0.0,0.6758391261100769,63.0958137512207,25.86848258972168,112.26604461669922,6.779655456542969,True,0.038133326547045196,0.9966208043694496,1.0,0.4218662372390619,1,True
ASMSpotter-1-1-1,1,2017-08-23,2016-10-18,309,309,4.975885642919341,-55.26784883014082,2.5,"[-55.27497747647343, 4.968736517652739, -55.2607201838082, 4.9830347681859415]",158,159,12,EPSG:4326,-55.27497747647343,4.968736517652739,-55.2607201838082,4.9830347681859415,0.3,100.0,0.0,2.6527953147888184,73.30305480957031,23.7199649810791,113.17809295654295,6.796834468841553,True,0.032279164031359865,0.9867360234260559,1.0,0.41538830544663263,2,True
ASMSpotter-1-1-1,5,2017-10-07,2016-10-18,354,354,4.975885642919341,-55.26784883014082,2.5,"[-55.27497747647343, 4.968736517652739, -55.2607201838082, 4.9830347681859415]",158,159,12,EPSG:4326,-55.27497747647343,4.968736517652739,-55.2607201838082,4.9830347681859415,13.0,100.0,10.667940450601067,7.548263072967529,118.69305419921876,22.158676147460938,112.30696105957033,6.760409355163574,True,0.019578302654913008,0.9089189823821571,1.0,0.38442267630759486,3,True
ASMSpotter-1-1-2,2,2017-08-08,2016-10-18,294,294,4.990183893452542,-55.26784883014082,2.5,"[-55.27497747647343, 4.9830347681859415, -55.2607201838082, 4.997333018719144]",158,159,12,EPSG:4326,-55.27497747647343,4.9830347681859415,-55.2607201838082,4.997333018719144,3.17,100.0,0.0,4.006362915039063,63.12490081787109,25.862401962280277,112.21837615966795,6.808175086975098,True,0.038133326547045196,0.9799681854248047,1.0,0.4168704515556685,1,True
ASMSpotter-1-1-2,1,2017-08-23,2016-10-18,309,309,4.990183893452542,-55.26784883014082,2.5,"[-55.27497747647343, 4.9830347681859415, -55.2607201838082, 4.997333018719144]",158,159,12,EPSG:4326,-55.27497747647343,4.9830347681859415,-55.2607201838082,4.997333018719144,0.3,100.0,0.0,6.803630352020264,73.33709716796875,23.71649932861328,113.12699127197266,6.82526159286499,True,0.032279164031359865,0.9659818482398987,1.0,0.40916205289078555,2,True
ASMSpotter-1-1-2,3,2017-10-02,2016-10-18,349,349,4.990183893452542,-55.26784883014082,2.5,"[-55.27497747647343, 4.9830347681859415, -55.2607201838082, 4.997333018719144]",158,159,12,EPSG:4326,-55.27497747647343,4.9830347681859415,-55.2607201838082,4.997333018719144,7.4,100.0,0.0,5.902490139007568,113.59498596191406,21.706602096557617,112.78466796875,7.022059440612793,True,0.02069676693182153,0.9704875493049622,1.0,0.4035643249505816,3,True
ASMSpotter-1-1-2,10,2017-07-19,2016-10-18,274,274,4.990183893452542,-55.26784883014082,2.5,"[-55.27497747647343, 4.9830347681859415, -55.2607201838082, 4.997333018719144]",158,159,12,EPSG:4326,-55.27497747647343,4.9830347681859415,-55.2607201838082,4.997333018719144,27.49,100.0,9.338428469070934,12.97848415374756,53.901798248291016,28.152597427368164,112.1492919921875,6.868064403533936,True,0.04762276172954922,0.8884154368859075,1.0,0.3950982881035018,4,True
ASMSpotter-1-1-2,5,2017-10-07,2016-10-18,354,354,4.990183893452542,-55.26784883014082,2.5,"[-55.27497747647343, 4.9830347681859415, -55.2607201838082, 4.997333018719144]",158,159,12,EPSG:4326,-55.27497747647343,4.9830347681859415,-55.2607201838082,4.997333018719144,13.0,100.0,6.878433245760688,9.775042533874512,118.72498321533205,22.166900634765625,112.2576904296875,6.788911819458008,True,0.019578302654913008,0.9167326211018241,1.0,0.38676676792349496,5,False
ASMSpotter-1-1-3,2,2017-08-08,2016-10-18,294,294,5.004482143985744,-55.26784883014082,2.5,"[-55.27497747647343, 4.997333018719143, -55.2607201838082, 5.011631269252345]",158,159,12,EPSG:4326,-55.27497747647343,4.997333018719143,-55.2607201838082,5.011631269252345,3.17,100.0,0.0,4.377258777618408,63.12490081787109,25.862401962280277,112.21837615966795,6.808175086975098,True,0.038133326547045196,0.978113706111908,1.0,0.41631410776179945,1,True
ASMSpotter-1-1-3,1,2017-08-23,2016-10-18,309,309,5.004482143985744,-55.26784883014082,2.5,"[-55.27497747647343, 4.997333018719143, -55.2607201838082, 5.011631269252345]",158,159,12,EPSG:4326,-55.27497747647343,4.997333018719143,-55.2607201838082,5.011631269252345,0.3,100.0,0.0,6.820098400115967,73.33709716796875,23.71649932861328,113.12699127197266,6.82526159286499,True,0.032279164031359865,0.9658995079994201,1.0,0.409137350818642,2,True
ASMSpotter-1-1-3,10,2017-07-19,2016-10-18,274,274,5.004482143985744,-55.26784883014082,2.5,"[-55.27497747647343, 4.997333018719143, -55.2607201838082, 5.011631269252345]",158,159,12,EPSG:4326,-55.27497747647343,4.997333018719143,-55.2607201838082,5.011631269252345,27.49,100.0,0.0,13.107970237731934,53.901798248291016,28.152597427368164,112.1492919921875,6.868064403533936,True,0.04762276172954922,0.9344601488113403,1.0,0.40891170168113156,3,True
ASMSpotter-1-1-3,3,2017-10-02,2016-10-18,349,349,5.004482143985744,-55.26784883014082,2.5,"[-55.27497747647343, 4.997333018719143, -55.2607201838082, 5.011631269252345]",158,159,12,EPSG:4326,-55.27497747647343,4.997333018719143,-55.2607201838082,5.011631269252345,7.4,100.0,0.0,7.117220878601074,113.59498596191406,21.706602096557617,112.78466796875,7.022059440612793,True,0.02069676693182153,0.9644138956069946,1.0,0.40174222884119126,4,True
ASMSpotter-1-1-3,5,2017-10-07,2016-10-18,354,354,5.004482143985744,-55.26784883014082,2.5,"[-55.27497747647343, 4.997333018719143, -55.2607201838082, 5.011631269252345]",158,159,12,EPSG:4326,-55.27497747647343,4.997333018719143,-55.2607201838082,5.011631269252345,13.0,100.0,0.0,6.907171249389648,118.72498321533205,22.166900634765625,112.2576904296875,6.788911819458008,True,0.019578302654913008,0.9654641437530518,1.0,0.4013862247188633,5,False
ASMSpotter-1-2-1,11,2017-05-20,2016-10-18,214,214,4.975885642919341,-55.25359153747559,2.5,"[-55.2607201838082, 4.968736517652739, -55.246462891142976, 4.9830347681859415]",158,159,12,EPSG:4326,-55.2607201838082,4.968736517652739,-55.246462891142976,4.9830347681859415,33.3,100.0,3.662128811400366,8.25313663482666,52.41474533081055,25.86599349975586,112.32137298583984,6.757543087005615,True,0.09275647414967884,0.9404236727688648,1.0,0.4377809863204667,1,True
ASMSpotter-1-2-1,2,2017-08-08,2016-10-18,294,294,4.975885642919341,-55.25359153747559,2.5,"[-55.2607201838082, 4.968736517652739, -55.246462891142976, 4.9830347681859415]",158,159,12,EPSG:4326,-55.2607201838082,4.968736517652739,-55.246462891142976,4.9830347681859415,3.17,100.0,0.0,1.926239252090454,63.095829010009766,25.86848258972168,112.26602172851562,6.779668807983398,True,0.038133326547045196,0.9903688037395477,1.0,0.41999063705009143,2,True
