tile,candidate,lowres_date,highres_date,delta_days,abs_delta_days,lat,lon,area,bounds_csv,width,height,bands,crs,left,bottom,right,top,csv_cloud_cover,valid_pixel_pct,cloud_mask_pct,cloud_probability_pct,sun_azimuth_mean,sun_zenith_mean,view_azimuth_mean,view_zenith_mean
ASMSpotter-1-1-1,1,2017-08-23,2016-10-18,309,309,4.975885642919341,-55.26784883014082,2.5,"[-55.27497747647343, 4.968736517652739, -55.2607201838082, 4.9830347681859415]",158,159,12,EPSG:4326,-55.27497747647343,4.968736517652739,-55.2607201838082,4.9830347681859415,0.3,100.0,0.0,2.6527953147888184,73.30305480957031,23.7199649810791,113.17809295654297,6.796834468841553
ASMSpotter-1-1-1,2,2017-08-08,2016-10-18,294,294,4.975885642919341,-55.26784883014082,2.5,"[-55.27497747647343, 4.968736517652739, -55.2607201838082, 4.9830347681859415]",158,159,12,EPSG:4326,-55.27497747647343,4.968736517652739,-55.2607201838082,4.9830347681859415,3.17,100.0,0.0,0.6758391261100769,63.0958137512207,25.86848258972168,112.26604461669922,6.779655456542969
ASMSpotter-1-1-1,3,2017-10-02,2016-10-18,349,349,4.975885642919341,-55.26784883014082,2.5,"[-55.27497747647343, 4.968736517652739, -55.2607201838082, 4.9830347681859415]",158,159,12,EPSG:4326,-55.27497747647343,4.968736517652739,-55.2607201838082,4.9830347681859415,7.4,100.0,64.60472892285645,35.520137786865234,113.56067657470703,21.699567794799805,112.83329010009766,6.993602275848389
ASMSpotter-1-1-1,4,2017-01-10,2016-10-18,84,84,4.975885642919341,-55.26784883014082,2.5,"[-55.27497747647343, 4.968736517652739, -55.2607201838082, 4.9830347681859415]",158,159,12,EPSG:4326,-55.27497747647343,4.968736517652739,-55.2607201838082,4.9830347681859415,24.15,100.0,25.78616352201258,16.77693748474121,139.2111053466797,35.972328186035156,112.04505157470703,6.933414936065674
ASMSpotter-1-1-1,5,2017-10-07,2016-10-18,354,354,4.975885642919341,-55.26784883014082,2.5,"[-55.27497747647343, 4.968736517652739, -55.2607201838082, 4.9830347681859415]",158,159,12,EPSG:4326,-55.27497747647343,4.968736517652739,-55.2607201838082,4.9830347681859415,13.0,100.0,10.667940450601067,7.548263072967529,118.69305419921875,22.158676147460938,112.30696105957031,6.760409355163574
ASMSpotter-1-1-1,6,2017-08-03,2016-10-18,289,289,4.975885642919341,-55.26784883014082,2.5,"[-55.27497747647343, 4.968736517652739, -55.2607201838082, 4.9830347681859415]",158,159,12,EPSG:4326,-55.27497747647343,4.968736517652739,-55.2607201838082,4.9830347681859415,21.25,100.0,62.168617148316216,37.43527603149414,60.373477935791016,26.55402946472168,113.2227554321289,6.76626443862915
ASMSpotter-1-1-1,7,2017-11-16,2016-10-18,394,394,4.975885642919341,-55.26784883014082,2.5,"[-55.27497747647343, 4.968736517652739, -55.2607201838082, 4.9830347681859415]",158,159,12,EPSG:4326,-55.27497747647343,4.968736517652739,-55.2607201838082,4.9830347681859415,14.26,100.0,92.10253960671922,52.82883071899414,142.8513641357422,30.154356002807617,112.18653106689453,6.8386616706848145
ASMSpotter-1-1-1,8,2017-11-21,2016-10-18,399,399,4.975885642919341,-55.26784883014082,2.5,"[-55.27497747647343, 4.968736517652739, -55.2607201838082, 4.9830347681859415]",158,159,12,EPSG:4326,-55.27497747647343,4.968736517652739,-55.2607201838082,4.9830347681859415,18.0,100.0,86.86410317649869,50.53188705444336,143.8274383544922,31.24559211730957,112.94912719726562,6.9149489402771
ASMSpotter-1-1-1,9,2017-10-27,2016-10-18,374,374,4.975885642919341,-55.26784883014082,2.5,"[-55.27497747647343, 4.968736517652739, -55.2607201838082, 4.9830347681859415]",158,159,12,EPSG:4326,-55.27497747647343,4.968736517652739,-55.2607201838082,4.9830347681859415,20.47,100.0,100.0,,134.6136016845703,25.66898536682129,112.33277893066406,6.759439945220947
ASMSpotter-1-1-1,10,2017-07-19,2016-10-18,274,274,4.975885642919341,-55.26784883014082,2.5,"[-55.27497747647343, 4.968736517652739, -55.2607201838082, 4.9830347681859415]",158,159,12,EPSG:4326,-55.27497747647343,4.968736517652739,-55.2607201838082,4.9830347681859415,27.49,100.0,82.24663641429822,45.7325439453125,53.87763595581055,28.16085433959961,112.19606018066406,6.839540481567383
